Seed,Epoch,Loss,Accuracy
1,1,0.8565298501332601,77.97500000000001
1,2,0.28201517619291944,91.92166666666667
1,3,0.2145179294904073,93.925
2,1,0.8425399494012197,80.42833333333334
2,2,0.27802826328277586,92.07333333333332
2,3,0.2119944946606954,93.86666666666666
3,1,0.8587079118728638,79.23
3,2,0.27999396843115487,91.97666666666666
3,3,0.214413170893987,93.86833333333333
4,1,0.846990452114741,79.46333333333332
4,2,0.28756597213745116,91.66833333333332
4,3,0.2249823588768641,93.57166666666666
5,1,0.8623660561879476,80.20166666666667
5,2,0.2838276252746582,91.85
5,3,0.21657017943064372,93.845
